Filename,Person,Organization
842974_E01238.pdf,Powerlong,THE CONSOLIDATED FINANCIAL STATEMENTS30
842974_E01238.pdf,Zhang,Real Estate Development Co.
842974_E01238.pdf,Chen,the Huihong Share Award Scheme
842974_E01238.pdf,Powerlong CM,SFO
842974_E01238.pdf,Pan’an Jinhua,Radisson Blu Shanghai Pudong Jinqiao (上海寶龍麗笙酒店)
842974_E01238.pdf,Powerlong Fumin,Powerlong Real Estate Holdings
842974_E01238.pdf,PROPERTIESCompletedinvestmentpropertiesInvestmentpropertiesunderconstructionTotalRMB’000RMB’000RMB’000Year,THE CONSOLIDATED FINANCIAL STATEMENTS7
842974_E01238.pdf,Hoi Kin,connectionTotalamount
842974_E01238.pdf,to:•,Company
842974_E01238.pdf,Wai Yan,KY1-1104
842974_E01238.pdf,Hoi,Walong Holdings Limited
842974_E01238.pdf,Fujian Ping,廈門寶龍信息產業發展有限公司
842974_E01238.pdf,Wang Ping Hui,SWCS Corporate Services Group
842974_E01238.pdf,Powerlong,Powerlong Real Estate Holdings Limited43The Board
842974_E01238.pdf,Powerlong,JUNTELS Shaoxing
842974_E01238.pdf,"net5,333,8464,007,038Share","sale13,394,0995,689,711Restricted"
842974_E01238.pdf,Hong,Cayman) Ltd.
842974_E01238.pdf,Cap,TravelSky Technology Limited
842974_E01238.pdf,HKCGI,Hong Kong Institute of Certified Public Accountants
842974_E01238.pdf,Powerlong,Cao’e Scenic Area Project
842974_E01238.pdf,Xin Fu Zhong Road,ChinaHotel W XiamenOpening Date
842974_E01238.pdf,Wa Fong,Real Estate Holdings Limited
842974_E01238.pdf,"Youngor Baolong Real Estate Co., Ltd.","Real Estate Co., Ltd."
842974_E01238.pdf,Zhang,Management
842974_E01238.pdf,Powerlong,THE CONSOLIDATED FINANCIAL STATEMENTS9
842974_E01238.pdf,Ningbo Wujiangkou Jianghuicheng,Real Estate Holdings Limited
842974_E01238.pdf,Powerlong CM,CHAIRMAN
842974_E01238.pdf,Hoi Wa Fong,Huihong Management
842974_E01238.pdf,"assets14,520,611Total assets214,805,819Segment",THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,Hai Di,Holdings Limited
842974_E01238.pdf,Hoi Kin HongHoi Wa FongDirectorDirector,CONTINUED)(a
842974_E01238.pdf,SHEET31 December20242023202220212020RMB’000RMB’000RMB’000RMB’000RMB’000AssetsNon-current,Powerlong Real Estate Holdings
842974_E01238.pdf,December20242023RMB’000RMB’000Guarantees,Holdings Limited
842974_E01238.pdf,Powerlong,Jukai Enterprise Management Co.
842974_E01238.pdf,Yiu Wah,LimitedCertified Public
842974_E01238.pdf,"Note)352,990As","year(1,012,885)Withdrawal"
842974_E01238.pdf,Hong,Holdings Limited
842974_E01238.pdf,"properties(3,164,148)(1,723,987)Proceeds",Real Estate Holdings Limited
842974_E01238.pdf,Hoi Kin,"year(1,012,885)Withdrawal"
842974_E01238.pdf,PRC39,Powerlong Real Estate Development Co.
842974_E01238.pdf,Hoi Wa,CompanyThe
842974_E01238.pdf,Hong,RegionWest
842974_E01238.pdf,Cap,Company
842974_E01238.pdf,Wong Lai Chan,Shareholders
842974_E01238.pdf,Hong,the Hong Kong Stock Exchange
842974_E01238.pdf,Powerlong Fumin,the PRC青島寶龍房地產發展有限公司Qingdao Powerlong Real Estate Development Co.
842974_E01238.pdf,Cap,Investments
842974_E01238.pdf,Gaochun Powerlong Plaza,Holdings Limited
842974_E01238.pdf,DIRECTORS,Infinity Family Limited
842974_E01238.pdf,Chen,JUNTELS Shaoxing
842974_E01238.pdf,Mingshi Haoting,Province/municipalityProjectTypeTotal GFA Properties
842974_E01238.pdf,Wong Lai Chan,the CompanySky Infinity Holdings LimitedShareholder of the Company
842974_E01238.pdf,Hoi Wa Fan,Holdings Limited
842974_E01238.pdf,Skylong,Sky Infinity Holdings Limited
842974_E01238.pdf,Hong,the Stock Exchange
842974_E01238.pdf,Hoi Kin Hong,"Powerlong Group Development Co., Ltd."
842974_E01238.pdf,Shih Sze Ni,Real Estate Holdings Limited
842974_E01238.pdf,Powerlong,"the GroupTianjin Hongyao Decoration Engineering Co., Ltd."
842974_E01238.pdf,Wai Yan,Hong Kong
842974_E01238.pdf,DIRECTORS,Remuneration Committee
842974_E01238.pdf,Powerlong,award schemesPowerlong Commercial Management Holding Limited
842974_E01238.pdf,Liu,Remuneration Committee
842974_E01238.pdf,Powerlong,THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,Jun,the Group for the year ended 31 December
842974_E01238.pdf,December20242023RMB’000RMB’000Loss,Trade
842974_E01238.pdf,9909.HK,Holdings Limited
842974_E01238.pdf,Zhang,Suqian Powerlong Property Development Company Limited
842974_E01238.pdf,Jun,Limited
842974_E01238.pdf,Ngai,the Membership Services Sub-Committee
842974_E01238.pdf,Hong,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT
842974_E01238.pdf,Xiao,2024)The Remuneration Committee
842974_E01238.pdf,Wenchuanggang Project,Powerlong Real Estate Holdings Limited
842974_E01238.pdf,Hoi Kin Hong,Investments
842974_E01238.pdf,Hoi Wa Fong,Prospectus
842974_E01238.pdf,Kang,Property Development Co.
842974_E01238.pdf,DIRECTORS,RSA
842974_E01238.pdf,Hoi,nomination committee
842974_E01238.pdf,1329.HK,BaWang International (Group) Holding Limited
842974_E01238.pdf,Hong,Corporate Finance
842974_E01238.pdf,Powerlong Yingju,Powerlong Real Estate Holdings
842974_E01238.pdf,Hoi Wa FanClose,Sky Infinity Holdings Limited
842974_E01238.pdf,Powerlong,THE CONSOLIDATED FINANCIAL STATEMENTS1
842974_E01238.pdf,Hoi Kin Hong,Board
842974_E01238.pdf,9909.HK,the Stock Exchange
842974_E01238.pdf,Kang,the Association of Chartered Certified Accountants
842974_E01238.pdf,Powerlong,the Stock Exchange
842974_E01238.pdf,Hong,Walong Holdings Limited
842974_E01238.pdf,GroupQuanzhou,"the GroupTianjin Hongyao Decoration Engineering Co., Ltd."
842974_E01238.pdf,JosephAudit Engagement DirectorPractising,Limited
842974_E01238.pdf,Hoi Kin Hong,CompanyShare
842974_E01238.pdf,Powerlong Yingju Real Estate Co.,Powerlong Real Estate Holdings
842974_E01238.pdf,Hoi Wa,the Huihong Share Award Scheme
842974_E01238.pdf,Xiao Lan,THE CONSOLIDATED FINANCIAL STATEMENTS41
842974_E01238.pdf,Cicheng Huguang Tianyue,Land Lot Shuoyuan
842974_E01238.pdf,Powerlong Fumin,Limited
842974_E01238.pdf,Liu Xiao Lan,2024)The Remuneration Committee
842974_E01238.pdf,GroupQuanzhou,THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,"Note)352,990As",THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,PRC39,Real Estate Holdings Limited
842974_E01238.pdf,Fenghua Powerlong Huahe,"Real Estate Development Co., Ltd."
842974_E01238.pdf,Hoi Wa Fong,Skylong Holdings Limited
842974_E01238.pdf,Xiao Lan,2024)The Nomination Committee
842974_E01238.pdf,Powerlong,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT
842974_E01238.pdf,Powerlong,the PRC鹽城御龍置業有限公司Yancheng Yulong Property Development Co.
